State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2010
8,NCNTY08081N08081,"Moffat County, CO",594,598,761,1121,1125,CO,13795
8,NCNTY08083N08083,"Montezuma County, CO",529,552,655,965,1160,CO,25535
8,NCNTY08085N08085,"Montrose County, CO",531,614,831,1174,1472,CO,41276
8,NCNTY08087N08087,"Morgan County, CO",571,575,750,970,1065,CO,28159
8,NCNTY08089N08089,"Otero County, CO",404,502,679,846,907,CO,18831
8,NCNTY08091N08091,"Ouray County, CO",775,780,1055,1555,1708,CO,4436
8,NCNTY08095N08095,"Phillips County, CO",519,522,697,868,931,CO,4442
8,NCNTY08097N08097,"Pitkin County, CO",846,1051,1422,1884,1900,CO,17148
8,NCNTY08099N08099,"Prowers County, CO",464,467,632,790,860,CO,12551
8,NCNTY08103N08103,"Rio Blanco County, CO",510,514,695,1024,1075,CO,6666
8,NCNTY08105N08105,"Rio Grande County, CO",515,537,637,846,1128,CO,11982
8,NCNTY08107N08107,"Routt County, CO",711,958,1181,1617,1622,CO,23509
8,NCNTY08109N08109,"Saguache County, CO",540,563,668,848,1183,CO,6108
8,NCNTY08111N08111,"San Juan County, CO",588,673,911,1342,1398,CO,699
8,NCNTY08113N08113,"San Miguel County, CO",723,934,1143,1661,1976,CO,7359
8,NCNTY08115N08115,"Sedgwick County, CO",441,461,546,777,780,CO,2379
8,NCNTY08117N08117,"Summit County, CO",831,1128,1397,1834,2333,CO,27994
8,NCNTY08121N08121,"Washington County, CO",476,480,649,808,876,CO,4814
8,NCNTY08125N08125,"Yuma County, CO",444,447,605,799,942,CO,10043
9,METRO14860MM1160,"Bridgeport, CT HUD Metro FMR Area",833,1045,1330,1740,1884,CT,357563
9,METRO14860MM1930,"Danbury, CT HUD Metro FMR Area",969,1104,1494,1862,2357,CT,194747
9,METRO14860MM8040,"Stamford-Norwalk, CT HUD Metro FMR Area",1200,1455,1807,2251,2800,CT,364519
9,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",704,883,1101,1371,1593,CT,1164104
9,METRO25540MM5480,"Southern Middlesex County, CT HUD Metro FMR Area",984,990,1340,1865,1871,CT,48277
9,METRO35300MM1160,"Milford-Ansonia-Seymour, CT HUD Metro FMR Area",1066,1124,1389,1758,1959,CT,120182
9,METRO35300MM5480,"New Haven-Meriden, CT HUD Metro FMR Area",874,1055,1316,1639,1818,CT,546503
9,METRO35300MM8880,"Waterbury, CT HUD Metro FMR Area",607,820,1000,1245,1353,CT,195792
9,METRO35980M35980,"Norwich-New London, CT HUD Metro FMR Area",785,883,1160,1485,1712,CT,250679
9,METRO35980MM3280,"Colchester-Lebanon, CT HUD Metro FMR Area",823,898,1215,1513,1761,CT,23376
9,NCNTY09005N09005,"Litchfield County, CT",863,877,1126,1426,1692,CT,189927
9,NCNTY09015N09015,"Windham County, CT",591,741,994,1238,1386,CT,118428
10,METRO20100M20100,"Dover, DE MSA",712,911,1080,1513,1908,DE,162310
10,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",788,929,1119,1394,1496,DE,538479
10,NCNTY10005N10005,"Sussex County, DE",755,772,1044,1425,1659,DE,197145
11,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",1226,1292,1532,2050,2575,DC,601723
12,METRO15980M15980,"Cape Coral-Fort Myers, FL MSA",760,765,969,1315,1353,FL,618754
12,METRO18880M18880,"Crestview-Fort Walton Beach-Destin, FL MSA",758,763,954,1406,1643,FL,180822
12,METRO19660M19660,"Deltona-Daytona Beach-Ormond Beach, FL MSA",594,764,940,1284,1383,FL,494593
12,METRO23540M23540,"Gainesville, FL MSA",783,805,1023,1367,1778,FL,264275
12,METRO27260M27260,"Jacksonville, FL HUD Metro FMR Area",655,807,970,1279,1565,FL,1318481
12,METRO27260N12003,"Baker County, FL HUD Metro FMR Area",519,649,769,1027,1117,FL,27115
12,METRO29460M29460,"Lakeland-Winter Haven, FL MSA",663,667,864,1172,1426,FL,602095
